created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 26 14:00:14 +0000 2023;1695435988691222614;"#zonauang #zonajajan #infoloker #lokerwfh info loker parttime part time freelance freelancer pelajar mahasiswa kuliah sekolah wfh 1";0;0;0;0;in;734741352236220417;1695435988691222614;idolletes;https://twitter.com/idolletes/status/1695435988691222614
Sat Aug 26 13:59:10 +0000 2023;1695435721010823617;"pengen ikut internship, kl ada info dong tapi wfh 😭";0;0;0;0;in;1276072612796395520;1695435721010823617;arearazone;https://twitter.com/arearazone/status/1695435721010823617
Sat Aug 26 13:56:47 +0000 2023;1695435122420723770;"‼️ INFO LOKER ‼️  pelajar atau irt yang sibuk ngurus rumah tapi pengen punya penghasilan ratusan perminggu mending join freelance ini, 100% halal, full WFH dan pastinya bukan MLM loh 😍  testi: https://t.co/tzYAU4CbV0 📲: https://t.co/T8A9TmhDUd  #zonauang #Loker #WFH #InfoLoker https://t.co/tvofsCoA3s";0;0;0;1;in;1645307731098886145;1695435122420723770;bitjbadass;https://twitter.com/bitjbadass/status/1695435122420723770
Sat Aug 26 13:56:16 +0000 2023;1695434990925070657;"@worksfess pls butuh kerja wfh, capek banget klo mau pulkam harus nyebrang pulau dulu 😭 suka homesick juga 😭";0;0;0;1;in;2874802584;1695431664602865924;ningning4lyfe;https://twitter.com/ningning4lyfe/status/1695434990925070657
Sat Aug 26 13:52:09 +0000 2023;1695433957654065170;"@worksfess share info loker yg bisa wfh/wfa/remote donggggg";0;5;0;0;in;564281613;1695431664602865924;ca_cassanova;https://twitter.com/ca_cassanova/status/1695433957654065170
Sat Aug 26 13:50:07 +0000 2023;1695433444808147227;"Imbauan Swasta WFH saat KTT ASEAN: Demi Kurangi Polusi Udara dan Berkorban untuk NKRI #TempoMetro https://t.co/2jDFds9awa";0;0;0;0;in;18129942;1695433444808147227;tempodotco;https://twitter.com/tempodotco/status/1695433444808147227
Sat Aug 26 13:49:02 +0000 2023;1695433171624731024;"Pas keluar jadwal WFH-WFO eh benar aja yg WFH pas DL..ga guna ini sih 😅";0;1;0;0;in;68697750;1695433171624731024;uknee11;https://twitter.com/uknee11/status/1695433171624731024
Sat Aug 26 13:48:19 +0000 2023;1695432989650592188;"At this point ga ada titik di jkt yang ga sesak sama polusi. Maunya pulang aja. WFH lagi aja.";0;1;0;0;in;3232739919;1695432989650592188;AshanifahA;https://twitter.com/AshanifahA/status/1695432989650592188
Sat Aug 26 13:47:12 +0000 2023;1695432711727661500;"@worksfess aku masih wfh cuma emang ya kadang onsite ke user sih. paling di kosan doang kalo ga ke cafe atau apa gitu sih. kalo nyari temen paling kaya ikut acara/event gitu sih";0;0;0;0;in;1387046057297645576;1695431664602865924;abvenina;https://twitter.com/abvenina/status/1695432711727661500
Sat Aug 26 13:46:08 +0000 2023;1695432440981143570;"@tanyarlfes Nope buat tipe aku yg kalo ada makanan semuanya pengen dimakan. Makanya wfh malah bikin BB turun soalnya dirumah gada makanan ga kyk dikantor beuhh basreng everyday 🤣";0;0;0;0;in;114994266;1695402430857662688;sushimentaiko_;https://twitter.com/sushimentaiko_/status/1695432440981143570
Sat Aug 26 13:45:07 +0000 2023;1695432185397080527;"dulu tuh yah mamak gue ngomel ngomel tiap hari karena kerjaan wfh kantor di luar negeri, jd di rumah terus kaya gak lagi kerja. tp semenjak skrg banyak keperluan gue yg bantuin skrg jd baik ngomongnya, ke orang lain jg kalau lg nanya skrg ngapain aja, dijawabnya lg kerja di rumah";0;0;0;0;in;2985085351;1695432185397080527;dejavff;https://twitter.com/dejavff/status/1695432185397080527
